TE_subfamily,names,scores,logfoldchanges,pvals,pvals_adj,bulk_TE,bulk_baseMean,bulk_log2FoldChange,bulk_pvalue,bulk_padj,is_TE,bulk_lfcSE,bulk_stat,bulk_TE_family,bulk_TE_class,bulk_significance
L1ME3D,L1ME3D:TE,11.607731,0.25955927,3.7647299353466518e-31,1.1557605536960536e-29,L1ME3D:L1:LINE,2671.26452105224,-0.0364003133324988,0.614567368623284,0.995278921297154,True,0.0722852892663873,-0.503564607708154,L1,LINE,Not Significant
MER11B,MER11B:TE,3.2344697,0.2567155,0.0012186884737296,0.0085081723758292,MER11B:ERVK:LTR,39530.6212076626,-0.600651979168747,0.20424429530863,0.995278921297154,True,0.473121251091578,-1.26955189136597,ERVK,LTR,Not Significant
Tigger9b,Tigger9b:TE,3.0507317,0.25317183,0.0022828447764518,0.015159279663336,Tigger9b:TcMar-Tigger:DNA,1450.53553504215,-0.0247060130957972,0.649973531009864,0.995278921297154,True,0.0544426391012789,-0.453798961689511,TcMar-Tigger,DNA,Not Significant
L1MB7,L1MB7:TE,33.775646,0.24064015,4.4941370949364525e-250,3.650575415900408e-247,L1MB7:L1:LINE,21892.446292166,-0.0538464122136107,0.305721518224389,0.995278921297154,True,0.0525720206061353,-1.02424087171812,L1,LINE,Not Significant
L1ME3F,L1ME3F:TE,13.115579,0.24019344,2.6812667023279337e-39,9.899934980155537e-38,L1ME3F:L1:LINE,3173.11813216031,-0.039830163875744,0.54814475914771,0.995278921297154,True,0.0663236410720461,-0.600542479754349,L1,LINE,Not Significant
Charlie10,Charlie10:TE,3.73198,0.23974714,0.0001899804687227,0.0015089489924585,Charlie10:hAT-Charlie:DNA,580.906891481678,-0.0649496682189654,0.286044725951921,0.995278921297154,True,0.0608805009231854,-1.06683859748319,hAT-Charlie,DNA,Not Significant
HERVP71A-int,HERVP71A-int:TE,4.3337784,0.23933667,1.4657159898986311e-05,0.0001354615439003,HERVP71A-int:ERV1:LTR,322.984912979787,0.0913159691449061,0.274793993655935,0.995278921297154,True,0.0836158692211747,1.09208897779157,ERV1,LTR,Not Significant
L1MCa,L1MCa:TE,20.225212,0.23435184,5.87374560791053e-91,5.14680537159624e-89,L1MCa:L1:LINE,4259.27386061399,-0.0821392167447225,0.155451543916061,0.995278921297154,True,0.0578226715680181,-1.42053652170153,L1,LINE,Not Significant
L1MCc,L1MCc:TE,9.186679,0.23281139,4.051565817338792e-20,8.966849089846642e-19,L1MCc:L1:LINE,1528.89684693779,-0.0616375996191224,0.387851399291459,0.995278921297154,True,0.0713794352349098,-0.8635204161573,L1,LINE,Not Significant
L1ME1,L1ME1:TE,37.56496,0.232136,8.02914351044815e-309,1.3406439344806619e-305,L1ME1:L1:LINE,25484.134734044,-0.0717690467779667,0.240560761366683,0.995278921297154,True,0.0611536154279855,-1.17358632479353,L1,LINE,Not Significant
