names,scores,logfoldchanges,pvals,pvals_adj,is_TE
MER75:TE,2.8342297,0.21975449,0.0045936289017989,0.0286732121793495,True
HAL1:TE,30.12728,0.219718,2.128959220161556e-199,9.273314400283417e-197,True
L1PA15-16:TE,8.045169,0.21874239,8.612654298504207e-16,1.5978600305033574e-14,True
THE1B-int:TE,9.106529,0.21823592,8.505963433303846e-20,1.8578977542728708e-18,True
Charlie13a:TE,3.0591426,0.21773128,0.0022197152008805,0.0147858023852981,True
L2HGDH,3.2313669,0.21663795,0.0012319965240567,0.0085911033713518,True
L1ME2z:TE,10.747869,0.21443269,6.064683845542422e-27,1.6585447950662189e-25,True
MER113:TE,7.8168936,0.21205318,5.414293643698068e-15,9.680344762721325e-14,True
MER57A-int:TE,5.5884366,0.21008503,2.2912299990133764e-08,2.76225100763526e-07,True
MER4E1:TE,3.9758222,0.20975253,7.0136543977948e-05,0.0005923216068324,True
L1PA15:TE,18.602102,0.20918198,3.089504736405154e-77,2.2374714422326967e-75,True
L1MC5a:TE,18.176003,0.20903532,7.995330066917788e-74,5.498847715359591e-72,True
L1ME3B:TE,14.999009,0.20861255,7.452319022790919e-51,3.4779417427015695e-49,True
L1MEj:TE,8.643122,0.20857269,5.469772998234222e-18,1.1107704558238483e-16,True
Tigger15a:TE,8.179853,0.2077353,2.8418889533670027e-16,5.361768518107048e-15,True
MER4A:TE,2.7529466,0.20667641,0.0059061528898671,0.0360864860957425,True
MER33:TE,8.461149,0.20630331,2.647547166675563e-17,5.252279214154062e-16,True
L1MD:TE,13.508119,0.2057796,1.4005584797353172e-41,5.495272207368793e-40,True
MLT1J1:TE,5.6064806,0.20545469,2.0648221561754443e-08,2.50033158355572e-07,True
L1MB2:TE,14.886532,0.20541824,4.031486367675144e-50,1.841433476906937e-48,True
MLT1E1A:TE,6.1780286,0.20417413,6.490688595728364e-10,8.827042793874025e-09,True
L1P1:TE,10.518179,0.20370758,7.123734699310297e-26,1.8947243043165573e-24,True
L1MEc:TE,28.352425,0.2026927,7.813181890553867e-177,2.4981402310701754e-174,True
L1PA12:TE,9.232245,0.20243205,2.6501735661971726e-20,5.922004946621267e-19,True
L1MD3:TE,10.252768,0.20070867,1.150024779597803e-24,2.956714692113941e-23,True
Charlie19a:TE,3.8841612,0.20046288,0.0001026837098914,0.0008466828260045,True
L1MEb:TE,7.2731605,0.20003177,3.51172386877184e-13,5.7959835736374325e-12,True
L1M4:TE,28.260883,0.1997155,1.0461457163562259e-175,3.275198906779831e-173,True
L1MC4:TE,25.506254,0.198893,1.6802167802114408e-143,3.3442990284274736e-141,True
L1MA3:TE,24.480963,0.1987905,2.3563156732500702e-132,4.093587720204096e-130,True
L1ME3G:TE,12.559539,0.19866355,3.523798979625904e-36,1.2187316263826992e-34,True
MER63A:TE,4.369377,0.19695118,1.2460146269924144e-05,0.0001160488677231,True
L1PA14:TE,9.897964,0.19568905,4.248392829788855e-23,1.0474605947440857e-21,True
L1ME3A:TE,15.420317,0.19561338,1.1951641250275031e-53,5.878994726301408e-52,True
L1M1:TE,20.355299,0.1929506,4.167035615322976e-92,3.716328053962375e-90,True
MLT1H1:TE,4.395672,0.19277816,1.1043066878282767e-05,0.0001032989029028,True
Charlie7a:TE,3.0479512,0.19227219,0.0023040736966326,0.0152867406075703,True
MLT1I:TE,7.289529,0.1912282,3.110411875961695e-13,5.142102801541736e-12,True
LTR78B:TE,5.441111,0.18986802,5.2949223166971616e-08,6.180151076828473e-07,True
Charlie15b:TE,4.1639132,0.1895661,3.128390377486164e-05,0.0002762967170007,True
L1MB8:TE,22.265099,0.18944652,8.054693213524403e-110,9.45639861454984e-108,True
Charlie16a:TE,2.777426,0.18937087,0.0054791295404667,0.0336912256769689,True
LTR78:TE,6.2398148,0.18925789,4.3808934296498976e-10,6.037035856402002e-09,True
THE1A-int:TE,6.408599,0.18548852,1.4686280759048784e-10,2.093909716381457e-09,True
MER115:TE,3.0366929,0.18355203,0.0023918911452075,0.0158379132780817,True
L1MEg:TE,22.215256,0.18304339,2.4458885238023296e-109,2.838269481964441e-107,True
MER104:TE,3.3813536,0.18078859,0.0007212968384335,0.0052541387491811,True
MER65-int:TE,3.0681813,0.17953826,0.0021536595693818,0.0143872501350905,True
L1M5:TE,32.664677,0.17870857,4.9593702838129987e-234,3.466369159999992e-231,True
Tigger2a:TE,5.842135,0.17853077,5.153599870169041e-09,6.568763532567027e-08,True
L1MC4a:TE,14.979381,0.17599778,1.0014625126639865e-50,4.659281086395683e-49,True
MER103C:TE,6.545496,0.17588802,5.929829162942717e-11,8.659913289224653e-10,True
MLT1K:TE,6.94747,0.17519587,3.718946474244971e-12,5.797351466983019e-11,True
MER63C:TE,4.0907345,0.17436884,4.300094873199842e-05,0.0003734162132736,True
