TE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,TE_family,TE_class,significance
LTR38C:ERV1:LTR,122.553962002964,-0.0135361584204925,0.141208728966539,-0.0958592186160111,0.92363238419818,0.9962736297742,ERV1,LTR38C,Not significant
AluSx4:Alu:SINE,4919.68149822958,-0.00560720788987222,0.0592984412085419,-0.0945591110928648,0.924665028872236,0.9962736297742,Alu,AluSx4,Not significant
AluSx:Alu:SINE,52345.6476301328,0.00487861978812117,0.0522457342007108,0.0933783372510209,0.925602999682974,0.9962736297742,Alu,AluSx,Not significant
L1MA10:L1:LINE,2658.83268546726,0.00740622648704792,0.0794119110508409,0.0932634209282072,0.925694291256535,0.9962736297742,L1,L1MA10,Not significant
MER83C:ERV1:LTR,155.455137068457,-0.00974578849637121,0.109219267862346,-0.0892314029119323,0.928898008997842,0.9962736297742,ERV1,MER83C,Not significant
MER50-int:ERV1:LTR,654.608715610975,0.0059250236748525,0.0670468144809544,0.0883714419651599,0.929581458483449,0.9962736297742,ERV1,MER50-int,Not significant
MER21B:ERVL:LTR,4479.89185977876,0.00389468409041725,0.0446753593151157,0.0871774541967591,0.930530460061272,0.9962736297742,ERVL,MER21B,Not significant
Eulor7:DNA:DNA?,1.47728098099806,-0.103330156627019,1.21287401850213,-0.0851944678925757,0.93210678857528,0.9962736297742,DNA,Eulor7,Not significant
UCON50:UCON50:Unknown,27.99184096375,-0.0240518996254631,0.293353169575518,-0.0819895679336487,0.934655009108501,0.9962736297742,UCON50,UCON50,Not significant
MSTB2:ERVL-MaLR:LTR,1697.55094320528,-0.0038623628436662,0.0473340886483436,-0.081597912919812,0.934966461010495,0.9962736297742,ERVL-MaLR,MSTB2,Not significant
MER57E2:ERV1:LTR,65.4771415205606,0.0169692863019915,0.210981792112893,0.0804300984082621,0.935895189373182,0.9962736297742,ERV1,MER57E2,Not significant
HAL1M8:L1:LINE,1474.48173704278,-0.00469966197819834,0.0587701740309241,-0.0799667868215847,0.936263671624021,0.9962736297742,L1,HAL1M8,Not significant
MER11C:ERVK:LTR,2180.4863779692,0.00496321358571747,0.0630894669403346,0.0786694487435013,0.937295546513641,0.9962736297742,ERVK,MER11C,Not significant
AluYa8:Alu:SINE,153.95184080625,0.0159958196580384,0.203743689828865,0.0785095217990513,0.937422756302766,0.9962736297742,Alu,AluYa8,Not significant
LTR53-int:ERVL:LTR,173.02465012073,0.0081488091715107,0.105021217940566,0.0775920269380451,0.938152584842614,0.9962736297742,ERVL,LTR53-int,Not significant
AluSq10:Alu:SINE,710.112669721831,-0.00514186186181338,0.0673860321686121,-0.0763045648532549,0.939176794206864,0.9962736297742,Alu,AluSq10,Not significant
L1PA7:L1:LINE,15243.2544416155,-0.00506005465557135,0.067235911866752,-0.0752582141757719,0.94000926741312,0.9962736297742,L1,L1PA7,Not significant
MER30:hAT-Charlie:DNA,3610.39718817674,0.00310024474020122,0.0413677181068393,0.0749435763460364,0.940259605111907,0.9962736297742,hAT-Charlie,MER30,Not significant
Eulor4:Eulor4:Unknown,18.1369543606043,0.0197384914183649,0.264499287322699,0.0746258775143057,0.940512384248478,0.9962736297742,Eulor4,Eulor4,Not significant
FLAM_A:Alu:SINE,10003.4887138257,-0.012090576564318,0.165213883184853,-0.0731813594066437,0.941661799648038,0.9962736297742,Alu,FLAM_A,Not significant
X5B_LINE:CR1:LINE,35.8728919375062,0.0134836665190489,0.185213743984629,0.0728005720794021,0.941964815713026,0.9962736297742,CR1,X5B_LINE,Not significant
UCON11:TcMar-Tigger:DNA,15.8134529122854,0.0191353196263733,0.263063976776356,0.0727401746938585,0.942012878427126,0.9962736297742,TcMar-Tigger,UCON11,Not significant
MER107:hAT-Charlie:DNA,176.345807634758,-0.00796745859399373,0.109870546518998,-0.0725167831272783,0.942190649627609,0.9962736297742,hAT-Charlie,MER107,Not significant
L1M8:L1:LINE,805.220463064267,0.00678907592036384,0.0939074210274588,0.0722954144207485,0.942366813911428,0.9962736297742,L1,L1M8,Not significant
AluSx3:Alu:SINE,13794.8685656041,-0.00379840193702925,0.0534970860376527,-0.0710020342856774,0.943396136453174,0.9962736297742,Alu,AluSx3,Not significant
LTR22C2:ERVK:LTR,45.119945658586,-0.0160581561949717,0.226451101859853,-0.0709122457920733,0.943467597179931,0.9962736297742,ERVK,LTR22C2,Not significant
LTR37B:ERV1:LTR,1523.10565299994,0.00369020410962858,0.0522301358434886,0.0706527764102806,0.943674105823506,0.9962736297742,ERV1,LTR37B,Not significant
