TE_name,scTE_logFC,scTE_pval,scTE_padj,soloTE_logFC,soloTE_pval,soloTE_padj,TE_family,TE_class,_merge,scTE_significant,soloTE_significant,scTE_direction,soloTE_direction,agreement,logFC_pearson_r,logFC_spearman_r
LTR72B,0.08416616,0.2420393526059931,1.0,0.05255546,0.2843003781132625,0.3966301285389659,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR73,0.16218133,0.0005632846530034,0.0170155963333275,0.17103405,0.0076328931143331,0.0168514381587314,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR75,-0.11768547,0.6170007540642812,1.0,-0.09820399,0.6588511816708579,0.771268553921393,LTR,LTR,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
LTR75B,0.19927065,0.0297450735071351,0.4887381590074806,0.15027358,0.0410157881226027,0.0746429667419499,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR75_1,,,,0.11143631,0.1783691192153048,0.2659589067804546,LTR,LTR,right_only,False,False,None,Up,Missing_data,0.9937739085763165,0.9353183055874946
LTR76,-0.17149304,0.8255038769852142,1.0,-0.17341115,0.6278837672006019,0.7430414886959088,LTR,LTR,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
LTR77,-0.034997445,0.7613416106765633,1.0,0.0606922,0.6942214068874644,0.8005702181553312,LTR,LTR,both,False,False,Down,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR78,0.019486435,0.2262650501594088,1.0,0.033897817,0.0674040922098743,0.1157940347947762,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR78B,0.10252398,1.9861050378666014e-06,9.774663529252195e-05,0.09718274,2.632665166573443e-05,9.641246758667608e-05,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR79,0.08003381,4.80282738878022e-05,0.0018794624530572,0.08294156,5.6354094951482e-05,0.0001939296473885,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR7A,0.70203626,0.936393385664182,1.0,0.3214233,0.9797887529084496,0.9931907956699794,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR7B,-0.060668167,0.0028121358202752,0.0687141658643004,-0.055451896,0.022675809953463,0.0443692743493753,LTR,LTR,both,False,True,Down,Down,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
LTR7C,0.02884891,0.0383163378584813,0.5958195292061845,0.07713861,0.0243713310462591,0.047345023036102,LTR,LTR,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
LTR7Y,-0.1410964,0.4575837339784042,1.0,-0.2136224,0.0094718436604406,0.0203719812061858,LTR,LTR,both,False,True,Down,Down,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
LTR8,-0.120101735,2.7327434179963297e-08,1.7488162194166298e-06,-0.114494674,1.060413303627121e-07,5.346455912240927e-07,LTR,LTR,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR80A,0.17155796,0.0033737612517692,0.0802465892880023,0.19301464,0.0015121006680878,0.0039619510734281,LTR,LTR,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
LTR80B,0.2794947,1.565532672583033e-06,7.84030275539565e-05,0.29256538,1.3975375190359585e-06,6.059722682539915e-06,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR81,0.09834605,0.4186223171769493,1.0,0.008729216,0.5905627257046455,0.7112999940709286,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR81A,0.26805848,4.394871104257725e-11,3.829528088356756e-09,0.2643158,2.0837070293913646e-10,1.2479217789283094e-09,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR81AB,-0.04478749,0.4467050152478242,1.0,-0.017011553,0.3890105132735251,0.5123783674222372,LTR,LTR,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
LTR81B,0.09084193,5.450331758205567e-05,0.0021143574921568,0.10688948,4.930875348226488e-05,0.0001713163101755,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR81C,-0.21617088,0.1017907996805168,1.0,-0.23219451,0.04356598720995,0.078709216892643,LTR,LTR,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
LTR82A,-0.007643745,0.0676013100051382,0.9247357364916848,0.007276566,0.0773611104013129,0.1296127413833434,LTR,LTR,both,False,False,Down,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR82B,0.09885363,5.162239572995066e-06,0.0002357284777607,0.09490325,9.635161708147492e-05,0.000323359606552,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR83,0.12604217,0.0003377284511774,0.0109010948968158,0.16134529,6.926626804987311e-05,0.0002376096030571,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR84a,0.09979404,8.649141701238893e-05,0.0031931489494656,0.1457056,4.654703413978194e-06,1.855036213511898e-05,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR84b,0.10916457,2.4529941049194024e-06,0.0001188573346228,0.112441964,1.4396398670510804e-05,5.399894864648343e-05,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR85a,0.07062456,0.0009782807188673,0.0277457063457493,0.10135123,0.0001380070660504,0.0004519627178208,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR85b,0.16979083,1.3351734000216981e-07,7.8618372824022e-06,0.18224064,2.145519014863329e-07,1.0245562167893605e-06,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR85c,0.20913793,8.716132027475282e-08,5.2406371175945664e-06,0.19456957,6.289634715366761e-07,2.8290307184471243e-06,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR86A1,0.18440838,9.057261493872188e-08,5.435311205484545e-06,0.18139108,3.4794085481968014e-07,1.625723649243678e-06,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR86A2,0.029817337,0.0961853047198685,1.0,0.09587742,0.0081218743934676,0.0177860845303411,LTR,LTR,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
LTR86B1,0.15754029,0.0174659581702837,0.317729310489676,0.08942001,0.0347850835443402,0.064503918006027,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR86B2,0.17390126,0.0014497480549221,0.0389152379558391,0.14146273,0.0042332486936952,0.0099757425738382,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR86C,0.18288034,0.0054762935410494,0.1206363533812058,0.20979436,0.0045166651120966,0.0105975432500275,LTR,LTR,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
LTR87,0.065199256,0.0004083101842959,0.0128806854764978,0.07174219,0.0017147803658605,0.0044257664680781,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR88a,0.124297865,0.0046186052622345,0.1041238712789701,0.1733263,0.0010501976287671,0.0028747834080392,LTR,LTR,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
LTR88b,-0.014330628,0.1163399933262145,1.0,0.012437897,0.0750336177649172,0.1268899245821689,LTR,LTR,both,False,False,Down,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR88c,-0.0050936607,0.097541863259079,1.0,0.029046007,0.0541918471859666,0.0944436693723277,LTR,LTR,both,False,False,Down,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR89,0.058772422,0.0007706927920562,0.0224863823406661,0.039206855,0.0096969467475179,0.0207736961942873,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR8A,0.007454562,0.0292542752598505,0.4829537811080102,-0.0004543167,0.1086592045930843,0.1739831281815412,LTR,LTR,both,False,False,Up,Down,Neither_significant,0.9937739085763165,0.9353183055874946
LTR8B,-0.09089879,0.0420095348965434,0.6405303895846544,-0.05666676,0.1885072065652564,0.2795373624031983,LTR,LTR,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
