,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_type
MLT1A1-int,650.8794687490641,0.05323905859949344,0.134423402716691,0.3960549839055881,0.6920644662787825,0.8683000575920908,TE
MLT1B,15591.471578312723,0.11994297068890271,0.08607291756903324,1.3935041831561548,0.1634673809382353,0.4856874350373126,TE
MLT1B-int,1030.164387393,0.13391299276628252,0.11046397361979193,1.2122775270351962,0.22540616335401067,0.5448807472268793,TE
MLT1C,18584.561618916523,0.11410829290614578,0.08929433751829419,1.2778894617227865,0.20128840433634848,0.5211343557557118,TE
MLT1C-int,641.1056703396478,0.2059211598610825,0.11198044872552806,1.8389027924491508,0.06592948501773753,0.36162808994675033,TE
MLT1D,21818.74231038594,0.11157653225195757,0.0811248566469203,1.3753680051179886,0.16901738295162505,0.49113571368902703,TE
MLT1D-int,1254.715834337829,0.17730751928667848,0.10563858741312876,1.678435159240332,0.09326217868006223,0.40028277132241225,TE
MLT1E,558.0148391373148,0.05467423201122963,0.11304525776058703,0.48364905431965566,0.6286349548206964,0.8346344330758857,TE
MLT1E-int,1.4156091437718799,-0.20704755770905664,0.7595198455199159,-0.27260322285236127,0.7851582342670932,,TE
MLT1E1,1355.788298219073,0.006693303453004559,0.08769547353098515,0.07632438920168023,0.9391610226582161,0.9780127850263476,TE
MLT1E1-int,8.777284591342177,0.6237473821341399,0.4062517702232018,1.5353714810681127,0.12469260486764872,,TE
MLT1E1A,3542.5417127573287,0.10069107486921193,0.09539601063992899,1.0555061390278582,0.29119390329291855,0.6021570985189383,TE
MLT1E1A-int,27.54068676304225,0.33442972333187626,0.2200362975566007,1.5198843420179333,0.12854004642967284,0.44634604267906874,TE
MLT1E2,4172.142983616723,0.07464490685961289,0.07618383873302474,0.9797997593846011,0.3271849709221388,0.6330050752079287,TE
MLT1E2-int,132.98640100677213,0.11910815321498938,0.1277819158970137,0.9321205773044209,0.35127421483315474,0.6511432827884258,TE
MLT1E3,1479.178699508699,0.15022475798056847,0.10684327751402416,1.4060291061442785,0.15971548203313446,0.4819535230706933,TE
MLT1E3-int,131.23431881189663,0.6386706132134657,0.20676733899502683,3.0888370296666006,0.0020094163260044587,0.13558465881654352,TE
MLT1F,4383.764683043637,0.1020068993300168,0.07462500141331195,1.3669265982998071,0.1716483139572604,0.4930746933752963,TE
MLT1F-int,743.462972463213,-0.01824450016231506,0.09522315430137483,-0.1915973094587106,0.8480576502098573,0.9397299290810492,TE
MLT1F1,3672.904633387555,0.11264627759989604,0.07422540332724141,1.5176243246973886,0.1291091311515167,0.44700865676864315,TE
MLT1F1-int,249.19251465946013,0.09418952050481964,0.12787705311927966,0.7365631143920922,0.4613880729220235,0.7343034744694501,TE
MLT1F2,5513.167981727762,0.13774496457050997,0.08650527928682196,1.5923301526349012,0.11131054128923878,0.4243541737733078,TE
MLT1F2-int,598.4023328993364,0.0039044884133378832,0.11595303850482959,0.033673015073039735,0.9731378976174853,0.9898923479511871,TE
MLT1G,2549.1377656302593,0.06535079180683327,0.08362844549985295,0.7814421446701193,0.43454249185656035,0.7152716000153526,TE
