names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
HERV1_LTRe,0.0,0.0,1.0,1.0,HERV1_LTRe,LTR,LTR
MLT1O-int,0.0,0.0,1.0,1.0,MLT1O-int,LTR,LTR
Eulor12,0.0,0.0,1.0,1.0,Eulor12,Unknown,Unknown
MLT1M-int,0.0,0.0,1.0,1.0,MLT1M-int,LTR,LTR
HERV-Fc2-int,0.0,0.0,1.0,1.0,HERV-Fc2-int,Unknown,Unknown
Chompy-6_Croc,0.0,0.0,1.0,1.0,Chompy-6_Croc,Unknown,Unknown
Chompy-7_Croc,0.0,0.0,1.0,1.0,Chompy-7_Croc,Unknown,Unknown
CR1-11_Crp,0.0,0.0,1.0,1.0,CR1-11_Crp,Unknown,Unknown
MLT1E1-int,0.0,0.0,1.0,1.0,MLT1E1-int,LTR,LTR
MST-int,-0.0010676159,-0.2879839,0.9991481658953806,1.0,MST-int,Unknown,Unknown
LTR2752,-0.0010676159,-0.31667975,0.9991481658953806,1.0,LTR2752,LTR,LTR
Zaphod3,-0.0035587198,0.04671453,0.9971605584385461,1.0,Zaphod3,Unknown,Unknown
HUERS-P2-int,-0.0049822074,0.060679182,0.9960247898689917,1.0,HUERS-P2-int,Unknown,Unknown
L1M2,-0.008540927,-0.07466734,0.993185408719747,1.0,L1M2,LINE-1,LINE
AluJb,-0.0088968,0.01595208,0.9929014747580985,1.0,AluJb,Alu,SINE
LTR3A,-0.0106761595,-0.3456904,0.991481819153485,1.0,LTR3A,LTR,LTR
LTR57,-0.013523135,-0.19796704,0.9892104281502497,1.0,LTR57,LTR,LTR
MER76,-0.013879007,-0.2596049,0.9889265100459793,1.0,MER76,LTR,LTR
hAT-N1_Mam,-0.016014239,-0.029520445,0.9872230321270904,1.0,hAT-N1_Mam,Unknown,Unknown
Charlie20a,-0.01637011,-0.19878389,0.9869391245939133,1.0,Charlie20a,Unknown,Unknown
MSTB-int,-0.02704627,-0.3036527,0.9784228292349518,1.0,MSTB-int,Unknown,Unknown
MER50C,-0.02882563,-0.32792264,0.9770036595250592,1.0,MER50C,LTR,LTR
